4, 17, 22, 24, 27, 45
4, 17, 19, 25, 26, 33
15, 16, 19, 21, 34, 38
15, 16, 19, 21, 34, 38
1, 10, 11, 19, 31, 38

2, 7, 11, 12, 22, 44
4, 10, 13, 19, 24, 28
4, 10, 13, 19, 24, 28
17, 23, 28, 41, 42, 45
8, 12, 15, 22, 37, 39

8, 12, 15, 22, 37, 39
5, 16, 17, 20, 23, 38
5, 16, 17, 20, 23, 38
8, 15, 27, 33, 42, 45
2, 5, 19, 20, 27, 44

2, 5, 19, 20, 27, 44
13, 27, 30, 31, 35, 42
3, 15, 18, 21, 39, 42
3, 15, 18, 21, 39, 42
2, 14, 22, 29, 37, 42

3, 15, 19, 23, 28, 43
11, 12, 16, 35, 39, 41
17, 18, 20, 39, 40, 43
3, 5, 15, 18, 22, 35
7, 12, 14, 24, 41, 45

3, 5, 15, 18, 22, 35
6, 22, 31, 37, 40, 44
1, 16, 20, 25, 27, 34
12, 17, 25, 33, 38, 42
12, 17, 25, 33, 38, 42

1, 11, 22, 24, 36, 40
5, 16, 20, 22, 33, 34
5, 16, 20, 22, 33, 34
1, 10, 13, 16, 25, 33
6, 13, 23, 29, 34, 42

6, 13, 23, 29, 34, 42
2, 6, 17, 29, 38, 39
2, 6, 17, 29, 38, 39
14, 16, 28, 31, 38, 44
8, 10, 18, 20, 34, 38
