5, 8, 11, 12, 24, 30
4, 6, 8, 11, 21, 34
2, 3, 7, 25, 31, 35
2, 3, 7, 25, 31, 35
5, 7, 8, 14, 30, 44

5, 8, 30, 32, 37, 40
5, 8, 30, 32, 37, 40
8, 9, 11, 15, 26, 44
8, 9, 11, 15, 26, 44
6, 13, 14, 20, 34, 36

1, 5, 22, 31, 34, 35
8, 9, 11, 14, 37, 38
8, 9, 11, 14, 37, 38
2, 5, 16, 34, 37, 41
2, 5, 16, 34, 37, 41

2, 14, 17, 35, 38, 41
2, 14, 17, 35, 38, 41
2, 5, 7, 19, 39, 44
1, 5, 8, 11, 32, 37
1, 5, 8, 11, 32, 37

5, 13, 25, 30, 31, 35
5, 13, 25, 30, 31, 35
9, 11, 21, 31, 34, 40
2, 18, 23, 30, 34, 38
2, 8, 14, 17, 37, 38

11, 19, 21, 27, 32, 43
9, 23, 30, 37, 38, 43
5, 14, 17, 24, 34, 36
